Assembly	Level	WGS	BioSample	Taxonomy	RUG
GCA_902797755.1	Contig	CADBUG000000000	SAMEA6152444	Bacillus licheniformis	RUG14306
GCA_902791925.1	Contig	CADAXU000000000	SAMEA6151858	Bifidobacterium merycicum	RUG13721
GCA_902795495.1	Contig	CADBLG000000000	SAMEA6152218	Campylobacter fetus	RUG14080
GCA_902798835.1	Scaffold	CADBYN000000000	SAMEA6152548	Candidatus Avelusimicrobium bubulum	RUG14410
GCA_902756455.1	Scaffold	CACVRB000000000	SAMEA6148290	Candidatus Avelusimicrobium caledoniensis	RUG10157
GCA_902765225.1	Scaffold	CACWYV000000000	SAMEA6149180	Candidatus Avelusimicrobium intestinale	RUG11046
GCA_902757105.1	Scaffold	CACVTK000000000	SAMEA6148355	Candidatus Avelusimicrobium luingense	RUG10222
GCA_902761975.1	Scaffold	CACWMG000000000	SAMEA6148847	Candidatus Avelusimicrobium pecoris	RUG10714
GCA_902764935.1	Contig	CACWXQ000000000	SAMEA6149148	Candidatus Avelusimicrobium ruminicola	RUG11014
GCA_902794895.1	Scaffold	CADBIY000000000	SAMEA6152155	Candidatus Avelusimicrobium vaccinum	RUG14017
GCA_902783505.1	Contig	CACZRI000000000	SAMEA6151018	Candidatus Colimorpha enterica	RUG12882
GCA_902791965.1	Scaffold	CADAXZ000000000	SAMEA6151862	Candidatus Proelusimicrobium bovinum	RUG13725
GCA_902792865.1	Scaffold	CADBBJ000000000	SAMEA6151955	Candidatus Ruminimicrobiellum tauri	RUG13817
GCA_902760015.1	Contig	CACWEU000000000	SAMEA6148651	Candidatus Ruminimicrobium bovinum	RUG10518
GCA_902772725.1	Contig	CACYBS000000000	SAMEA6149930	Erysipelothrix rhusiopathiae	RUG11795
GCA_902795695.1	Contig	CADBMB000000000	SAMEA6152234	Erysipelothrix rhusiopathiae	RUG14096
GCA_902781835.1	Scaffold	CACZKR000000000	SAMEA6150842	Erysipelothrix rhusiopathiae	RUG12706
GCA_902797585.1	Contig	CADBTK000000000	SAMEA6152422	Erysipelothrix rhusiopathiae	RUG14284
GCA_902762915.1	Scaffold	CACWQI000000000	SAMEA6148948	Eubacterium pyruvativorans	RUG10814
GCA_902759705.1	Contig	CACWDX000000000	SAMEA6148627	Eubacterium ruminantium	RUG10494
GCA_902785545.1	Scaffold	CACZYW000000000	SAMEA6151213	Eubacterium ruminantium	RUG13076
GCA_902755055.1	Scaffold	CACVMB000000000	SAMEA6148172	Fibrobacter succinogenes	RUG10039
GCA_902756345.1	Scaffold	CACVQR000000000	SAMEA6148285	Fibrobacter succinogenes	RUG10152
GCA_902761355.1	Contig	CACWJY000000000	SAMEA6148783	Fibrobacter succinogenes	RUG10650
GCA_902762795.1	Scaffold	CACWPM000000000	SAMEA6148924	Fibrobacter succinogenes	RUG10790
GCA_902762305.1	Contig	CACWNW000000000	SAMEA6148885	Fibrobacter succinogenes	RUG10752
GCA_902771595.1	Scaffold	CACXXH000000000	SAMEA6149818	Fibrobacter succinogenes	RUG11683
GCA_902771215.1	Scaffold	CACXVX000000000	SAMEA6149778	Fibrobacter succinogenes	RUG11643
GCA_902768715.1	Scaffold	CACXMH000000000	SAMEA6149521	Fibrobacter succinogenes	RUG11387
GCA_902769685.1	Contig	CACXPW000000000	SAMEA6149623	Fibrobacter succinogenes	RUG11489
GCA_902768325.1	Scaffold	CACXKY000000000	SAMEA6149491	Fibrobacter succinogenes	RUG11357
GCA_902767785.1	Scaffold	CACXIR000000000	SAMEA6149429	Fibrobacter succinogenes	RUG11295
GCA_902766495.1	Contig	CACXDW000000000	SAMEA6149307	Fibrobacter succinogenes	RUG11173
GCA_902781185.1	Scaffold	CACZII000000000	SAMEA6150773	Fibrobacter succinogenes	RUG12637
GCA_902780945.1	Scaffold	CACZHM000000000	SAMEA6150761	Fibrobacter succinogenes	RUG12625
GCA_902779965.1	Scaffold	CACZDK000000000	SAMEA6150654	Fibrobacter succinogenes	RUG12518
GCA_902779055.1	Scaffold	CACZAD000000000	SAMEA6150575	Fibrobacter succinogenes	RUG12439
GCA_902776765.1	Scaffold	CACYRP000000000	SAMEA6150343	Fibrobacter succinogenes	RUG12208
GCA_902791455.1	Scaffold	CADAVW000000000	SAMEA6151815	Fibrobacter succinogenes	RUG13678
GCA_902791475.1	Scaffold	CADAWC000000000	SAMEA6151811	Fibrobacter succinogenes	RUG13674
GCA_902795385.1	Scaffold	CADBLC000000000	SAMEA6152200	Fibrobacter succinogenes	RUG14062
GCA_902796785.1	Contig	CADBQJ000000000	SAMEA6152343	Fibrobacter succinogenes	RUG14205
GCA_902793175.1	Scaffold	CADBCL000000000	SAMEA6151985	Fibrobacter succinogenes	RUG13847
GCA_902794535.1	Contig	CADBHQ000000000	SAMEA6152119	Fibrobacter succinogenes	RUG13981
GCA_902801555.1	Scaffold	CADCIS000000000	SAMEA6152822	Fibrobacter succinogenes	RUG14683
GCA_902799745.1	Scaffold	CADCBQ000000000	SAMEA6152635	Fibrobacter succinogenes	RUG14497
GCA_902800815.1	Scaffold	CADCGB000000000	SAMEA6152748	Fibrobacter succinogenes	RUG14609
GCA_902800095.1	Scaffold	CADCDF000000000	SAMEA6152679	Fibrobacter succinogenes	RUG14540
GCA_902800345.1	Scaffold	CADCDO000000000	SAMEA6152701	Fibrobacter succinogenes	RUG14562
GCA_902796085.1	Contig	CADBNU000000000	SAMEA6152271	Heyndrickxia coagulans	RUG14133
GCA_902787035.1	Scaffold	CADAEU000000000	SAMEA6151362	Kandleria vitulina	RUG13225
GCA_902766645.1	Contig	CACXEI000000000	SAMEA6149318	Lachnobacterium bovis	RUG11184
GCA_902797765.1	Contig	CADBUC000000000	SAMEA6152441	Lentilactobacillus buchneri	RUG14303
GCA_902803025.1	Contig	CADCOK000000000	SAMEA6152973	Ligilactobacillus ruminis	RUG14834
GCA_902795485.1	Contig	CADBLJ000000000	SAMEA6152217	Ligilactobacillus ruminis	RUG14079
GCA_902801295.1	Contig	CADCHN000000000	SAMEA6152793	Oscillospiraceae bacterium	RUG14654
GCA_902802215.1	Scaffold	CADCLH000000000	SAMEA6152893	Oscillospiraceae bacterium	RUG14754
GCA_902802085.1	Scaffold	CADCKM000000000	SAMEA6152876	Oscillospiraceae bacterium	RUG14737
GCA_902802635.1	Scaffold	CADCMU000000000	SAMEA6152931	Oscillospiraceae bacterium	RUG14792
GCA_902802375.1	Scaffold	CADCLS000000000	SAMEA6152907	Oscillospiraceae bacterium	RUG14768
GCA_902802325.1	Scaffold	CADCLV000000000	SAMEA6152901	Oscillospiraceae bacterium	RUG14762
GCA_902802045.1	Contig	CADCKQ000000000	SAMEA6152869	Oscillospiraceae bacterium	RUG14730
GCA_902801755.1	Scaffold	CADCJM000000000	SAMEA6152843	Oscillospiraceae bacterium	RUG14704
GCA_902804015.1	Contig	CADCSJ000000000	SAMEA6153075	Oscillospiraceae bacterium	RUG14936
