# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
CACVWD010000001.1	cds	185	661	+	BMNMOC_00001	-	-	-	-	-	-
CACVWD010000001.1	cds	791	1576	+	BMNMOC_00002	-	-	-	-	-	-
CACVWD010000001.1	cds	1628	2605	-	BMNMOC_00003	-	-	-	-	-	-
CACVWD010000001.1	cds	2609	3277	-	BMNMOC_00004	254.0	1.0e-83	1.0	0.884	0.563	UniRef:UniRef50_A0A174Z049
CACVWD010000001.1	cds	3279	4610	-	BMNMOC_00005	-	-	-	-	-	-
CACVWD010000001.1	cds	4629	5567	-	BMNMOC_00006	-	-	-	-	-	-
CACVWD010000001.1	cds	5691	6683	-	BMNMOC_00007	452.0	2.0e-158	0.973	0.897	0.670	UniRef:UniRef50_A0A1E8EXB9
CACVWD010000001.1	cds	6726	7946	-	BMNMOC_00008	420.0	4.3e-143	0.995	0.880	0.522	UniRef:UniRef50_B5RN40
CACVWD010000001.1	cds	7958	8842	-	BMNMOC_00009	-	-	-	-	-	-
CACVWD010000001.1	cds	8844	9437	-	BMNMOC_00010	237.0	7.0e-78	0.970	0.864	0.571	UniRef:UniRef50_A0Q3R3
CACVWD010000001.1	cds	9439	9780	-	BMNMOC_00011	111.0	4.8e-31	1.009	0.898	0.518	UniRef:UniRef50_A0A7S7MA98
CACVWD010000001.1	cds	9794	11476	-	BMNMOC_00012	-	-	-	-	-	-
CACVWD010000001.1	cds	11614	12789	+	BMNMOC_00013	-	-	-	-	-	-
CACVWD010000001.1	cds	12794	14128	+	BMNMOC_00014	539.0	1.7e-188	0.984	0.834	0.632	UniRef:UniRef50_A0A7X8R0G3
CACVWD010000001.1	cds	14204	14794	-	BMNMOC_00015	-	-	-	-	-	-
CACVWD010000001.1	cds	14798	16045	-	BMNMOC_00016	541.0	3.8e-191	1.014	1.0	0.677	UniRef:UniRef50_A0A3D2G210
CACVWD010000001.1	cds	16042	16809	-	BMNMOC_00017	289.0	4.8e-97	0.992	0.981	0.538	UniRef:UniRef50_A0A1Q6R745
CACVWD010000001.1	cds	16802	17851	-	BMNMOC_00018	455.0	2.1e-159	0.951	0.915	0.714	UniRef:UniRef50_A0A1Q6R747
CACVWD010000001.1	cds	17998	18429	-	BMNMOC_00019	161.0	7.7e-50	0.909	0.867	0.677	UniRef:UniRef50_A0A1B2I702
CACVWD010000001.1	cds	18442	18882	-	BMNMOC_00020	-	-	-	-	-	-
CACVWD010000001.1	cds	18886	19095	-	BMNMOC_00021	-	-	-	-	-	-
CACVWD010000001.1	cds	19278	20237	+	BMNMOC_00022	-	-	-	-	-	-
