#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
CADBPJ010000001.1	36	431	-	BBJOLO_00001	15.3	6.6		
CADBPJ010000001.1	4100	4336	-	BBJOLO_00006	9.0	9.2		
CADBPJ010000002.1	22	975	-	BBJOLO_00007	35.4	4.7		
CADBPJ010000002.1	1015	1587	-	BBJOLO_00008	21.3	4.9		
CADBPJ010000002.1	2100	2909	-	BBJOLO_00010	29.4	9.4		
CADBPJ010000003.1	1709	2539	+	BBJOLO_00011	31.9	8.2	PF00165.29|HTH_AraC, PF02311.25|AraC_binding, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF02311.25, PFAM:PF12833.13
CADBPJ010000004.1	304	1269	-	BBJOLO_00015	35.3	4.7	PF01497.23|Peripla_BP_2	PFAM:PF01497.23
CADBPJ010000004.1	2318	3670	-	BBJOLO_00017	49.1	5.7	PF00766.25|ETF_alpha, PF01012.27|ETF	PFAM:PF00766.25, PFAM:PF01012.27
CADBPJ010000004.1	12913	13824	+	BBJOLO_00026	35.3	8.5	PF00144.29|Beta-lactamase	PFAM:PF00144.29
CADBPJ010000005.1	2943	3299	+	BBJOLO_00031	13.7	4.9		
CADBPJ010000005.1	3467	3814	+	BBJOLO_00032	13.1	5.7	PF01381.28|HTH_3, PF12844.13|HTH_19, PF13443.12|HTH_26, PF13560.12|HTH_31	PFAM:PF01381.28, PFAM:PF12844.13, PFAM:PF13443.12, PFAM:PF13560.12
CADBPJ010000005.1	4096	4506	+	BBJOLO_00033	16.1	7.8	PF08281.18|Sigma70_r4_2	PFAM:PF08281.18
CADBPJ010000006.1	15	782	+	BBJOLO_00034	29.1	6.9	PF04055.27|Radical_SAM, PF13353.11|Fer4_12	PFAM:PF04055.27, PFAM:PF13353.11
CADBPJ010000006.1	3024	3869	-	BBJOLO_00036	32.9	7.0	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
CADBPJ010000007.1	53	1858	+	BBJOLO_00037	70.1	5.6	PF00359.27|PTS_EIIA_2, PF00874.25|PRD, PF02302.22|PTS_IIB, PF05043.19|Mga	PFAM:PF00359.27, PFAM:PF00874.25, PFAM:PF02302.22, PFAM:PF05043.19
CADBPJ010000007.1	1863	2117	+	BBJOLO_00038	9.3	4.6	PF00381.24|PTS-HPr	PFAM:PF00381.24
CADBPJ010000007.1	2170	3852	+	BBJOLO_00039	62.1	5.0	PF00391.29|PEP-utilizers, PF02896.24|PEP-utilizers_C	PFAM:PF00391.29, PFAM:PF02896.24
CADBPJ010000007.1	3858	4307	+	BBJOLO_00040	16.4	5.2	PF00359.27|PTS_EIIA_2	PFAM:PF00359.27
CADBPJ010000007.1	7633	8697	-	BBJOLO_00045	38.7	5.3	PF01979.26|Amidohydro_1, PF07969.17|Amidohydro_3	PFAM:PF01979.26, PFAM:PF07969.17
CADBPJ010000007.1	8728	9378	-	BBJOLO_00046	24.2	5.1		
CADBPJ010000007.1	9406	10188	-	BBJOLO_00047	27.9	5.5	PF00106.31|adh_short, PF13561.12|adh_short_C2	PFAM:PF00106.31, PFAM:PF13561.12
CADBPJ010000007.1	11044	12453	-	BBJOLO_00049	53.5	5.1		
CADBPJ010000007.1	12450	13436	-	BBJOLO_00050	36.5	5.1	PF00294.29|PfkB	PFAM:PF00294.29
CADBPJ010000007.1	16458	17927	-	BBJOLO_00053	53.8	5.5	PF13660.11|DUF4147	PFAM:PF13660.11
CADBPJ010000007.1	18796	19452	-	BBJOLO_00055	23.4	5.1	PF01081.25|Aldolase	PFAM:PF01081.25
CADBPJ010000007.1	19468	20523	-	BBJOLO_00056	37.4	5.1		
CADBPJ010000007.1	20544	20984	-	BBJOLO_00057	17.2	5.8		
CADBPJ010000008.1	147	953	+	BBJOLO_00058	30.9	8.9	PF17762.7|HTH_ParB	PFAM:PF17762.7
CADBPJ010000008.1	1822	2595	-	BBJOLO_00060	28.9	5.5	PF08282.18|Hydrolase_3	PFAM:PF08282.18
CADBPJ010000008.1	7750	8568	+	BBJOLO_00065	31.1	5.1		
CADBPJ010000008.1	8580	9191	+	BBJOLO_00066	22.6	5.0		
CADBPJ010000008.1	9203	9919	+	BBJOLO_00067	26.6	12.0		
CADBPJ010000008.1	10108	10734	-	BBJOLO_00068	22.5	9.9		
CADBPJ010000008.1	10808	11824	-	BBJOLO_00069	37.2	6.3	PF02237.23|BPL_C, PF03099.24|BPL_LplA_LipB, PF08279.18|HTH_11	PFAM:PF02237.23, PFAM:PF03099.24, PFAM:PF08279.18
CADBPJ010000008.1	11998	12996	-	BBJOLO_00070	39.4	4.5		
CADBPJ010000009.1	674	1159	-	BBJOLO_00071	17.4	4.9	PF13306.12|LRR_5	PFAM:PF13306.12
CADBPJ010000009.1	1188	2729	-	BBJOLO_00072	57.0	8.9	PF07538.16|ChW	PFAM:PF07538.16
CADBPJ010000010.1	79	444	+	BBJOLO_00073	13.8	4.8	PF01381.28|HTH_3, PF04545.22|Sigma70_r4, PF08281.18|Sigma70_r4_2	PFAM:PF01381.28, PFAM:PF04545.22, PFAM:PF08281.18
CADBPJ010000010.1	566	2404	+	BBJOLO_00074	70.8	6.1	PF00733.27|Asn_synthase, PF13522.11|GATase_6, PF13537.11|GATase_7	PFAM:PF00733.27, PFAM:PF13522.11, PFAM:PF13537.11
CADBPJ010000010.1	2680	3282	+	BBJOLO_00075	21.6	4.7	PF01330.27|RuvA_N, PF07499.19|RuvA_C, PF14520.12|HHH_5	PFAM:PF01330.27, PFAM:PF07499.19, PFAM:PF14520.12
CADBPJ010000010.1	4330	5925	+	BBJOLO_00077	57.6	6.2	PF01520.23|Amidase_3, PF07833.16|Cu_amine_oxidN1	PFAM:PF01520.23, PFAM:PF07833.16
CADBPJ010000010.1	6669	7004	+	BBJOLO_00079	12.4	5.1	PF04545.22|Sigma70_r4	PFAM:PF04545.22
CADBPJ010000010.1	10229	10600	+	BBJOLO_00085	14.0	5.2	PF00633.29|HHH, PF12836.13|HHH_3	PFAM:PF00633.29, PFAM:PF12836.13
CADBPJ010000010.1	11811	13589	-	BBJOLO_00087	67.0	7.6	PF00005.33|ABC_tran	PFAM:PF00005.33
CADBPJ010000010.1	13688	14794	-	BBJOLO_00088	40.4	9.6		
CADBPJ010000010.1	14996	15274	+	BBJOLO_00089	10.7	8.7		
CADBPJ010000010.1	15228	16475	+	BBJOLO_00090	47.1	8.9		
CADBPJ010000010.1	18842	19582	+	BBJOLO_00094	27.7	6.9	PF11967.14|RecO_N	PFAM:PF11967.14
CADBPJ010000010.1	19743	20006	+	BBJOLO_00095	9.4	10.6		
CADBPJ010000010.1	20028	21158	+	BBJOLO_00096	43.1	5.1	PF04055.27|Radical_SAM, PF06969.22|HemN_C	PFAM:PF04055.27, PFAM:PF06969.22
CADBPJ010000010.1	21502	21690	+	BBJOLO_00097	7.2	9.7		
CADBPJ010000010.1	23825	24568	+	BBJOLO_00101	26.4	4.5		
CADBPJ010000010.1	25028	25540	+	BBJOLO_00103	19.1	4.2		
CADBPJ010000010.1	25592	25771	+	BBJOLO_00104	6.8	9.7		
CADBPJ010000010.1	27936	29531	+	BBJOLO_00107	57.2	5.5	PF01182.26|Glucosamine_iso	PFAM:PF01182.26
CADBPJ010000010.1	30579	30797	-	BBJOLO_00109	8.6	9.1		
CADBPJ010000011.1	379	576	+	BBJOLO_00119	6.9	4.4		
