# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
CADBPJ010000001.1	cds	36	431	-	BBJOLO_00001		hypothetical protein	
CADBPJ010000001.1	cds	668	1135	-	BBJOLO_00002		Transposase IS200-like domain-containing protein	SO:0001217, UniRef:UniRef50_G1UYM3
CADBPJ010000001.1	cds	1613	2872	-	BBJOLO_00003		Tyr recombinase domain-containing protein	SO:0001217, UniRef:UniRef50_R0CJT6
CADBPJ010000001.1	cds	2990	3184	-	BBJOLO_00004		Helix-turn-helix domain-containing protein	SO:0001217, UniRef:UniRef50_G1VUW8
CADBPJ010000001.1	cds	3258	4103	-	BBJOLO_00005		Abortive infection protein AbiGII	SO:0001217, UniRef:UniRef50_E1QY75
CADBPJ010000001.1	cds	4100	4336	-	BBJOLO_00006		hypothetical protein	
CADBPJ010000002.1	cds	22	975	-	BBJOLO_00007		hypothetical protein	
CADBPJ010000002.1	cds	1015	1587	-	BBJOLO_00008		hypothetical protein	
CADBPJ010000002.1	cds	1602	2084	-	BBJOLO_00009		ATP synthase F(0) sector subunit c	SO:0001217, UniRef:UniRef50_A0A1V5XGT6
CADBPJ010000002.1	cds	2100	2909	-	BBJOLO_00010		hypothetical protein	
CADBPJ010000003.1	cds	1709	2539	+	BBJOLO_00011		hypothetical protein	PFAM:PF00165.29, PFAM:PF02311.25, PFAM:PF12833.13
CADBPJ010000003.1	cds	2591	3169	-	BBJOLO_00012		GTP cyclohydrolase 1	SO:0001217, UniRef:UniRef50_A0A1H3LS01
CADBPJ010000003.1	cds	3196	4134	-	BBJOLO_00013		Type III pantothenate kinase	SO:0001217, UniRef:UniRef50_C0D327
CADBPJ010000003.1	cds	4183	6273	+	BBJOLO_00014		Putative K(+)-stimulated pyrophosphate-energized sodium pump	SO:0001217, UniRef:UniRef50_A0A1C5R5C0
CADBPJ010000004.1	cds	304	1269	-	BBJOLO_00015		hypothetical protein	PFAM:PF01497.23
CADBPJ010000004.1	cds	1244	2170	-	BBJOLO_00016		4Fe-4S ferredoxin-type domain-containing protein	SO:0001217, UniRef:UniRef50_C0CQV2
CADBPJ010000004.1	cds	2318	3670	-	BBJOLO_00017		hypothetical protein	PFAM:PF00766.25, PFAM:PF01012.27
CADBPJ010000004.1	cds	3648	5132	-	BBJOLO_00018		Xylulose kinase	SO:0001217, UniRef:UniRef50_A0A9D5M162
CADBPJ010000004.1	cds	5369	6154	-	BBJOLO_00019		5-deoxy-glucuronate isomerase	SO:0001217, UniRef:UniRef50_A0A7X6VGS9
CADBPJ010000004.1	cds	6147	7058	-	BBJOLO_00020	pfkB	Carbohydrate kinase PfkB domain-containing protein	SO:0001217, UniRef:UniRef50_A0A316PA84
CADBPJ010000004.1	cds	7064	7903	-	BBJOLO_00021		Tagatose-bisphosphate aldolase	SO:0001217, UniRef:UniRef50_A0A316P4P7
CADBPJ010000004.1	cds	7894	8970	-	BBJOLO_00022		4Fe-4S ferredoxin-type domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3D4QWY9
CADBPJ010000004.1	cds	8984	10408	-	BBJOLO_00023		Putative FAD-linked oxidoreductase	SO:0001217, UniRef:UniRef50_A0A1V5Y8Y7
CADBPJ010000004.1	cds	10439	11854	-	BBJOLO_00024		L-fucose isomerase C-terminal domain-containing protein	SO:0001217, UniRef:UniRef50_G5IK04
CADBPJ010000004.1	cds	12012	12890	+	BBJOLO_00025		MurR/RpiR family transcriptional regulator	SO:0001217, UniRef:UniRef50_A0A416HB29
CADBPJ010000004.1	cds	12913	13824	+	BBJOLO_00026		hypothetical protein	PFAM:PF00144.29
CADBPJ010000005.1	cds	63	1124	+	BBJOLO_00027		DUF3854 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A316QGN9
CADBPJ010000005.1	cds	1241	1474	+	BBJOLO_00028		Antitoxin	SO:0001217, UniRef:UniRef50_D4LEI9
CADBPJ010000005.1	cds	1458	1865	+	BBJOLO_00029		PIN domain-containing protein	SO:0001217, UniRef:UniRef50_D4LEI8
CADBPJ010000005.1	cds	2005	2946	+	BBJOLO_00030		ParM/StbA family protein	SO:0001217, UniRef:UniRef50_A0A810QL27
CADBPJ010000005.1	cds	2943	3299	+	BBJOLO_00031		hypothetical protein	
CADBPJ010000005.1	cds	3467	3814	+	BBJOLO_00032		hypothetical protein	PFAM:PF01381.28, PFAM:PF12844.13, PFAM:PF13443.12, PFAM:PF13560.12
CADBPJ010000005.1	cds	4096	4506	+	BBJOLO_00033		hypothetical protein	PFAM:PF08281.18
CADBPJ010000006.1	cds	15	782	+	BBJOLO_00034		hypothetical protein	PFAM:PF04055.27, PFAM:PF13353.11
CADBPJ010000006.1	cds	766	2988	+	BBJOLO_00035		4-hydroxyphenylacetate decarboxylase large subunit	SO:0001217, UniRef:UniRef50_A0A1C6A108
CADBPJ010000006.1	cds	3024	3869	-	BBJOLO_00036		hypothetical protein	PFAM:PF00165.29, PFAM:PF12833.13
CADBPJ010000007.1	cds	53	1858	+	BBJOLO_00037		hypothetical protein	PFAM:PF00359.27, PFAM:PF00874.25, PFAM:PF02302.22, PFAM:PF05043.19
CADBPJ010000007.1	cds	1863	2117	+	BBJOLO_00038		hypothetical protein	PFAM:PF00381.24
CADBPJ010000007.1	cds	2170	3852	+	BBJOLO_00039		hypothetical protein	PFAM:PF00391.29, PFAM:PF02896.24
CADBPJ010000007.1	cds	3858	4307	+	BBJOLO_00040		hypothetical protein	PFAM:PF00359.27
CADBPJ010000007.1	cds	4324	4635	+	BBJOLO_00041		protein-N(pi)-phosphohistidine--D-fructose phosphotransferase	SO:0001217, UniRef:UniRef50_W9BGZ1
CADBPJ010000007.1	cds	4655	5737	+	BBJOLO_00042		PTS EIIC type-2 domain-containing protein	SO:0001217, UniRef:UniRef50_F2NAX9
CADBPJ010000007.1	cds	5765	6616	+	BBJOLO_00043		Fructose-bisphosphate aldolase	SO:0001217, UniRef:UniRef50_D4MU08
CADBPJ010000007.1	cds	6629	7495	+	BBJOLO_00044		Fructose-bisphosphate aldolase	SO:0001217, UniRef:UniRef50_A0A0D6DX95
CADBPJ010000007.1	cds	7633	8697	-	BBJOLO_00045		hypothetical protein	PFAM:PF01979.26, PFAM:PF07969.17
CADBPJ010000007.1	cds	8728	9378	-	BBJOLO_00046		hypothetical protein	
CADBPJ010000007.1	cds	9406	10188	-	BBJOLO_00047		hypothetical protein	PFAM:PF00106.31, PFAM:PF13561.12
CADBPJ010000007.1	cds	10207	11031	-	BBJOLO_00048		Fructose-bisphosphate aldolase	SO:0001217, UniRef:UniRef50_G5IK02
CADBPJ010000007.1	cds	11044	12453	-	BBJOLO_00049		hypothetical protein	
