,MAG,query,target,identity,aln_len,evalue,bitscore,product,contig,start,end,taxonomy,Protein ID,Organism name,Locus,Gene,Function,PFAM ID,Reference,mid,distance,cluster,cluster_size
52,GCA_902754875.1,EJF39103.1,GCA_902754875.1_KMPMIM_00214,34.9,364,5.16e-64,212.0,hypothetical protein,CACVLA010000002.1,26588,27685,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900315595,EJF39103.1,Clostridium sp. MSTE9,sulfo-TK,sqwF,SA reductase,PF00465,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,27136.5,,14,4
53,GCA_902754875.1,EJF39089.1,GCA_902754875.1_KMPMIM_00215,57.6,85,4.14e-28,103.0,hypothetical protein,CACVLA010000002.1,27675,27932,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900315595,EJF39089.1,Clostridium sp. MSTE9,sulfo-TK,sqwI,SE isomerase,PF02502,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,27803.5,667.0,14,4
54,GCA_902754875.1,EJF39090.1,GCA_902754875.1_KMPMIM_00216,55.1,254,7.350000000000001e-88,267.0,hypothetical protein,CACVLA010000002.1,27946,28707,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900315595,EJF39090.1,Clostridium sp. MSTE9,sulfo-TK,sqwH,SF transketolase,"PF02779, PF02780",https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,28326.5,523.0,14,4
55,GCA_902754875.1,AYG21321.1,GCA_902754875.1_KMPMIM_00222,24.5,277,1.16e-05,50.4,hypothetical protein,CACVLA010000002.1,32567,33355,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900315595,AYG21321.1,Escherichia coli str. K-12 substr. MG1655,sulfo-EMP,yihV,SF kinase,PF00294,https://www.nature.com/articles/nature12947 ,32961.0,4634.5,14,4
68,GCA_902754875.1,EJF39099.1,GCA_902754875.1_KMPMIM_01959,50.6,265,7.45e-85,259.0,Transketolase 1,CACVLA010000043.1,5168,6013,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900315595,EJF39099.1,Clostridium sp. MSTE9,sulfo-TK,sqwG,SF transketolase,PF00456,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,5590.5,,27,2
69,GCA_902754875.1,EJF39090.1,GCA_902754875.1_KMPMIM_01960,46.2,303,6.76e-80,249.0,1-deoxy-D-xylulose-5-phosphate synthase,CACVLA010000043.1,6015,6962,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900315595,EJF39090.1,Clostridium sp. MSTE9,sulfo-TK,sqwH,SF transketolase,"PF02779, PF02780",https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,6488.5,898.0,27,2
117,GCA_902754935.1,EJF39099.1,GCA_902754935.1_FMFMNE_00870,40.5,269,6.6e-61,198.0,Apulose-4-phosphate transketolase subunit A,CACVLC010000009.1,56629,57498,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314755,EJF39099.1,Clostridium sp. MSTE9,sulfo-TK,sqwG,SF transketolase,PF00456,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,57063.5,28373.5,35,4
118,GCA_902754935.1,EJF39090.1,GCA_902754935.1_FMFMNE_00871,35.1,299,1.84e-45,160.0,Transketolase,CACVLC010000009.1,57505,58422,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314755,EJF39090.1,Clostridium sp. MSTE9,sulfo-TK,sqwH,SF transketolase,"PF02779, PF02780",https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,57963.5,900.0,35,4
119,GCA_902754935.1,PRO65851.1,GCA_902754935.1_FMFMNE_00874,28.5,305,5.92e-17,87.4,L-fucose isomerase C-terminal domain-containing protein,CACVLC010000009.1,60351,61772,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314755,PRO65851.1,Alkalicoccus urumqiensis BZ-SZ-XJ18,sulfo-EMP,sqvD,SQ isomerase,PF02952,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,61061.5,3098.0,35,4
120,GCA_902754935.1,EJF39103.1,GCA_902754935.1_FMFMNE_00877,36.3,248,5.16e-44,160.0,Alcohol dehydrogenase 2,CACVLC010000009.1,64347,65516,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314755,EJF39103.1,Clostridium sp. MSTE9,sulfo-TK,sqwF,SA reductase,PF00465,https://zhaogroup.chbe.illinois.edu/publications/HZ372.pdf,64931.5,3870.0,35,4
