user_genome	is_ani_classification	class_tree_mapped	classification_rule
MAG_GCA_902756115.1	False	4	Rule 2
MAG_GCA_902766415.1	False	4	Rule 2
MAG_GCA_902766515.1	False	4	Rule 2
MAG_GCA_902767195.1	False	4	Rule 2
MAG_GCA_902775155.1	False	4	Rule 2
MAG_GCA_902783995.1	False	4	Rule 2
MAG_GCA_902785745.1	False	4	Rule 2
MAG_GCA_902786615.1	False	4	Rule 2
MAG_GCA_902795255.1	False	6	Rule 2
MAG_GCA_902801585.1	False	4	Rule 2
