user_genome	reference_genome	skani_ani	skani_af	reference_taxonomy	other_related_references(genome_id,species_name,radius,ANI,AF)
MAG_GCA_902763685.1	GCA_902763685.1	100.0	1.0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp902763685	GCA_902787415.1, s__Methanomethylophilus sp902787415, 95.0, 85.84, 0.202; GCA_001560915.1, s__Methanomethylophilus sp001560915, 95.0, 84.43, 0.164
MAG_GCA_902787415.1	GCA_902787415.1	100.0	0.9961	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp902787415	GCA_902763685.1, s__Methanomethylophilus sp902763685, 95.0, 85.84, 0.202; GCA_001560915.1, s__Methanomethylophilus sp001560915, 95.0, 91.14, 0.648
MAG_GCA_902788475.1	GCA_030168595.1	98.13	0.8898	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp001481295	
MAG_GCA_902794865.1	GCA_001560915.1	97.43	0.8537	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp001560915	GCA_902763685.1, s__Methanomethylophilus sp902763685, 95.0, 85.92, 0.164; GCA_902787415.1, s__Methanomethylophilus sp902787415, 95.0, 91.04, 0.543
