user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
MAG_GCA_902754915.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317905	GCA_900317905.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317905	99.99	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_946187475.1, s__CAG-103 sp946187475, 95.0, 86.86, 0.224; GCA_902803575.1, s__CAG-103 sp902803575, 95.0, 92.21, 0.663; GCA_946187035.1, s__CAG-103 sp946187035, 95.0, 90.41, 0.49	N/A	N/A	N/A	N/A
MAG_GCA_902755405.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__RUG626;s__RUG626 sp900320765	GCA_900320765.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__RUG626;s__RUG626 sp900320765	100	0.998	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900317385.1, s__RUG626 sp900317385, 95.0, 89.81, 0.489	N/A	N/A	N/A	N/A
MAG_GCA_902755455.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900319635	GCA_900319635.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900319635	100	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_017447685.1, s__Limivicinus sp017447685, 95.0, 83.82, 0.159; GCA_900316205.1, s__Limivicinus sp900316205, 95.0, 84.18, 0.17; GCA_902765595.1, s__Limivicinus sp002350825, 95.0, 84.06, 0.157; GCA_902775355.1, s__Limivicinus sp902775355, 95.0, 84.44, 0.21; GCA_900316255.1, s__Limivicinus sp900316255, 95.28, 84.25, 0.152; GCA_017428565.1, s__Limivicinus sp017428565, 95.0, 87.12, 0.389	N/A	N/A	N/A	N/A
MAG_GCA_902755505.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp900316755	GCA_900316755.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp900316755	100	0.999	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902755545.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp900316375	GCA_900316375.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp900316375	99.99	0.971	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902755775.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900320465	GCA_900320465.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900320465	100	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002450075.1, s__Limivicinus sp002450075, 95.0, 84.68, 0.177; GCA_900320595.1, s__Limivicinus sp900320595, 95.0, 84.79, 0.165	N/A	N/A	N/A	N/A
MAG_GCA_902755855.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp900318295	GCA_900318295.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp900318295	100	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_947169235.1, s__Eubacterium_F sp947169235, 95.0, 85.91, 0.164	N/A	N/A	N/A	N/A
MAG_GCA_902755885.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900316255	GCA_900316255.1	95.28	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900316255	100	0.997	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_017447685.1, s__Limivicinus sp017447685, 95.0, 95.28, 0.748; GCA_902775355.1, s__Limivicinus sp902775355, 95.0, 84.61, 0.16; GCA_946629065.1, s__Limivicinus sp946629065, 95.0, 89.73, 0.432; GCA_900319635.1, s__Limivicinus sp900319635, 95.0, 84.25, 0.152; GCA_900316205.1, s__Limivicinus sp900316205, 95.0, 90.55, 0.517	N/A	N/A	N/A	N/A
MAG_GCA_902756005.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Aristaeella;s__Aristaeella sp900316415	GCA_900316415.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Aristaeella;s__Aristaeella sp900316415	99.99	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902756045.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__UBA9732;s__UBA9732 sp900321635	GCA_900321635.1	95	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__UBA9732;s__UBA9732 sp900321635	100	1	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_017632495.1, s__UBA9732 sp017632495, 95.0, 92.62, 0.723	N/A	N/A	N/A	N/A
