cluster,target,contig,SQ_gene_content_set,SQ_pathway,SQ_score,taxonomy,bitscore_list,evalue_list
63,"GCA_902754915.1_GLIGFB_00196,GCA_902754915.1_GLIGFB_00197",CACVLH010000001.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317905,"[182.0, 185.0]","[7.299999999999999e-52, 4.5899999999999996e-55]"
66,"GCA_902754915.1_GLIGFB_00381,GCA_902754915.1_GLIGFB_00384,GCA_902754915.1_GLIGFB_00385,GCA_902754915.1_GLIGFB_00386,GCA_902754915.1_GLIGFB_00387,GCA_902754915.1_GLIGFB_00388",CACVLH010000002.1,"sqvB,sqvD,sqwF,sqwG,sqwH,sqwI",sulfo-TK,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317905,"[142.0, 217.0, 162.0, 291.0, 298.0, 255.0]","[1.6599999999999999e-40, 5.99e-66, 3.31e-50, 1.81e-96, 2.12e-100, 5.82e-79]"
271,"GCA_902755405.1_GNFANA_00528,GCA_902755405.1_GNFANA_00529,GCA_902755405.1_GNFANA_00530",CACVMX010000032.1,"sqvA,sqwG,sqwH",sulfo-TAL,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__RUG626;s__RUG626 sp900320765,"[232.0, 227.0, 148.0]","[2.86e-74, 1.79e-71, 3.93e-43]"
387,"GCA_902755455.1_HAJFOH_00002,GCA_902755455.1_HAJFOH_00003",CACVNO010000001.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900319635,"[160.0, 182.0]","[1.03e-45, 7.299999999999999e-52]"
392,"GCA_902755455.1_HAJFOH_00507,GCA_902755455.1_HAJFOH_00508,GCA_902755455.1_HAJFOH_00509,GCA_902755455.1_HAJFOH_00510,GCA_902755455.1_HAJFOH_00511,GCA_902755455.1_HAJFOH_00512",CACVNO010000004.1,"sqvD,sqwF,sqwG,sqwH,sqwI,yihQ",sulfo-TK,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900319635,"[391.0, 275.0, 295.0, 292.0, 159.0, 206.0]","[1.12e-125, 1.51e-86, 3.47e-99, 8.999999999999999e-97, 2.69e-49, 9.02e-62]"
445,"GCA_902755505.1_FCKGBA_00805,GCA_902755505.1_FCKGBA_00808,GCA_902755505.1_FCKGBA_00809,GCA_902755505.1_FCKGBA_00810,GCA_902755505.1_FCKGBA_00811,GCA_902755505.1_FCKGBA_00812,GCA_902755505.1_FCKGBA_00814",CACVNV010000015.1,"sedA,slaB,sqiA,squF,sqvD,yihV",sulfo-EMP,max,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp900316755,"[61.6, 213.0, 100.0, 104.0, 94.4, 173.0, 48.5]","[2.37e-09, 5.42e-62, 6.74e-23, 9.2e-23, 1.65e-21, 3.51e-51, 0.000146]"
489,"GCA_902755545.1_GKJEAK_01744,GCA_902755545.1_GKJEAK_01746",CACVNX010000098.1,"sqvA,sqwG",sulfo-TAL,min,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp900316375,"[146.0, 127.0]","[2.15e-42, 9.86e-32]"
584,"GCA_902755725.1_OGGBFD_01658,GCA_902755725.1_OGGBFD_01659,GCA_902755725.1_OGGBFD_01660,GCA_902755725.1_OGGBFD_01661",CACVOI010000078.1,"sqvA,sqvB,sqvD,yihQ",sulfo-TAL,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp900316345,"[584.0, 262.0, 152.0, 292.0]","[6.09e-201, 2.5599999999999998e-84, 2.11e-44, 2.67e-93]"
603,"GCA_902755775.1_KFDMNO_00126,GCA_902755775.1_KFDMNO_00127,GCA_902755775.1_KFDMNO_00128,GCA_902755775.1_KFDMNO_00129,GCA_902755775.1_KFDMNO_00130,GCA_902755775.1_KFDMNO_00131",CACVOP010000002.1,"sqvD,sqwF,sqwG,sqwH,sqwI,yihQ",sulfo-TK,min_up,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900320465,"[679.0, 281.0, 279.0, 278.0, 162.0, 200.0]","[4.98e-238, 6.14e-89, 7.61e-93, 2.51e-91, 2.33e-50, 2.0800000000000002e-59]"
667,"GCA_902755885.1_LMFEPJ_00487,GCA_902755885.1_LMFEPJ_00488",CACVOX010000004.1,"sqiA,sqiK",sulfo-EMP,min,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900316255,"[162.0, 181.0]","[1.32e-46, 1.43e-51]"
