user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
MAG_GCA_902751235.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__RUG350;g__RUG350;s__RUG350 sp900315995	GCA_900315995.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__RUG350;g__RUG350;s__RUG350 sp900315995	100.0	0.999	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902754835.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900322175	GCA_900322175.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900322175	100.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_902761905.1, s__Prevotella sp902761905, 95.0, 89.49, 0.453; GCA_900317405.1, s__Prevotella sp900317405, 95.0, 87.87, 0.476	N/A	N/A	N/A	N/A
MAG_GCA_902754855.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__Colimorpha;s__Colimorpha sp900316055	GCA_900316055.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__Colimorpha;s__Colimorpha sp900316055	99.99	1.0	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_902800395.1, s__Colimorpha sp902800395, 95.0, 86.39, 0.202	N/A	N/A	N/A	N/A
MAG_GCA_902754875.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900315595	GCA_900315595.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900315595	97.41	0.775	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_946186225.1, s__Faecousia sp946186225, 95.0, 89.03, 0.412	N/A	N/A	N/A	N/A
MAG_GCA_902754905.1	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__Avelusimicrobium;s__Avelusimicrobium sp900319325	GCA_900319325.1	95.0	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__Avelusimicrobium;s__Avelusimicrobium sp900319325	100.0	0.999	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902754915.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317905	GCA_900317905.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317905	99.99	1.0	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_902803575.1, s__CAG-103 sp902803575, 95.0, 92.21, 0.663; GCA_946187035.1, s__CAG-103 sp946187035, 95.0, 90.41, 0.49; GCA_946187475.1, s__CAG-103 sp946187475, 95.0, 86.86, 0.224	N/A	N/A	N/A	N/A
MAG_GCA_902754935.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314755	GCA_900314755.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314755	98.18	0.822	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002353225.1, s__Prevotella sp002353225, 95.0, 84.35, 0.185; GCA_902776195.1, s__Prevotella sp902776195, 95.0, 92.0, 0.535; GCA_905235835.1, s__Prevotella sp905235835, 95.0, 83.4, 0.173	N/A	N/A	N/A	N/A
MAG_GCA_902754985.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides sp900316435	GCA_900316435.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides sp900316435	100.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900318905.1, s__Ruminococcoides sp900318905, 95.0, 92.13, 0.615; GCA_900315195.1, s__Ruminococcoides sp900315195, 95.0, 88.2, 0.371	N/A	N/A	N/A	N/A
MAG_GCA_902755005.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bovifimicola;s__Bovifimicola sp900315425	GCA_900315425.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bovifimicola;s__Bovifimicola sp900315425	100.0	0.999	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
MAG_GCA_902755055.1	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter sp900316465	GCF_900316465.1	95.0	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter sp900316465	99.99	1.0	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_017626945.1, s__Fibrobacter sp017626945, 95.18, 85.31, 0.176; GCA_001603905.1, s__Fibrobacter sp001603905, 95.0, 85.48, 0.177; GCF_900142475.1, s__Fibrobacter sp900142475, 95.0, 85.9, 0.193; GCA_902761355.1, s__Fibrobacter succinogenes_M, 95.0, 85.94, 0.204; GCF_947166265.1, s__Fibrobacter sp947166265, 95.0, 85.06, 0.176; GCA_902756345.1, s__Fibrobacter sp900142495, 95.0, 90.08, 0.571; GCF_946062555.1, s__Fibrobacter sp946062555, 95.07, 85.18, 0.164; GCF_900177705.1, s__Fibrobacter sp900177705, 95.0, 89.08, 0.461; GCF_900142545.1, s__Fibrobacter sp900142545, 95.0, 89.93, 0.49; GCA_017526585.1, s__Fibrobacter sp017526585, 95.0, 85.26, 0.181; GCF_002210295.1, s__Fibrobacter sp002210295, 95.0, 93.34, 0.757; GCF_900182935.1, s__Fibrobacter succinogenes_O, 95.0, 90.83, 0.575; GCF_937877005.1, s__Fibrobacter sp937877005, 95.0, 86.06, 0.166; GCA_017530965.1, s__Fibrobacter sp017530965, 95.0, 87.72, 0.308; GCA_902799745.1, s__Fibrobacter succinogenes_Q, 95.0, 90.46, 0.529	N/A	N/A	N/A	N/A
